Date,Amount,Currency,Description,DebitAccount,CreditAccount,DebitSubAccount,CreditSubAccount,Type,GroupTag,GLinkDrive,ID
2003-09-01,10.02,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,1
2003-09-01,5.12,$,Panera Bread,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,2
2003-09-01,17.55,$,Movie,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,3
2003-09-01,0.65,$,ICC Chocolate,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,4
2003-09-02,420.00,$,Gas light House Rent,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,5
2003-09-02,19.99,$,Dish Network,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,6
2003-09-02,48.05,$,Sprint PCS,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,7
2003-09-02,18.00,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,8
2003-09-02,7.50,$,Neighbour Kid Chocolate,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,9
2003-09-02,1.10,$,Office Water,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,10
2003-09-02,10.15,$,Dodge Gas,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,11
2003-09-02,22.62,$,Hallmark - Sebi Birthday,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,12
2003-09-02,62.69,$,Sams Club,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,13
2003-09-03,4.74,$,Post Office Candy photo,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,14
2003-09-03,46.19,$,Schnucks Grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,15
2003-09-03,25.00,$,Schnucks,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,16
2003-09-05,9.88,$,Pizza Lunch,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,17
2003-09-05,2.00,$,pizza Lunch tips,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,18
2003-09-06,19.40,$,Honda Gas,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,19
2003-09-06,20.00,$,Boys Movie,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,20
2003-09-06,10.00,$,James Boys movie,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,21
2003-09-07,49.24,$,Sams Club,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,22
2003-09-07,13.05,$,Office Max,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,23
2003-09-07,13.36,$,Kohls,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,24
2003-09-07,51.19,$,Walmart,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,25
2003-09-07,18.30,$,Honda Fuel,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,26
2003-09-07,10.00,$,Red Carpet-Car Wash,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,27
2003-09-07,90.00,$,Jefferson Road,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,28
2003-09-08,18.18,$,phone Card Reliable Com,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,29
2003-09-08,24.55,$,Insight Check,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Vendor Bank,CEFCU Checking A/c [D] - Check Deposit,,,30
2003-09-08,0.70,$,Office twix Choc,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,31
2003-09-10,75.00,$,Speeding ticket,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,32
2003-09-10,1.10,$,office Soda,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,33
2003-09-10,154.01,$,StateFarm Insurance,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,34
2003-09-10,405.89,$,Car Loan,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,35
2003-09-10,"1,200.00",$,Checking to visa,BankAsset,BankAsset,CEFCU Saving - Dinesh,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] -> Savings A/c [D],,,36
2003-09-11,5.19,$,Big Foot Soda,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,37
2003-09-11,20.00,$,Mahendra for lunch,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,38
2003-09-11,"1,891.53",$,Staff Mgmt - Salary,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Caterpillar Inc,CEFCU Checking A/c [D] - ACH Deposit,,,39
2003-09-12,20.00,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,40
2003-09-12,16.94,$,Schnucks,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,41
2003-09-12,18.18,$,Reliable Com Phone card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,42
2003-09-13,5.00,$,Office - Marci Send off,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,43
2003-09-13,11.24,$,Walmart - Chocolates & Water,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,44
2003-09-13,1.78,$,Wal green - Photo frame,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,45
2003-09-13,4.90,$,Panera Bread - Coffee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,46
2003-09-13,70.00,$,BrandyWine Drive,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,47
2003-09-14,70.00,$,St Mary Church,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,48
2003-09-14,88.32,$,WalMart - Eye exam + Contact Lens,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,49
2003-09-14,2.16,$,Dollar Tree Pears Soap and Towel,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,50
2003-09-14,13.76,$,ShopKo - Pan,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,51
2003-09-14,2.21,$,CEFCU Insurance Premium,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,52
2003-09-15,18.18,$,Reliable Com - Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,53
2003-09-15,1.10,$,office Water,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,54
2003-09-17,32.24,$,Hair Cut - Dinesh & Sebi,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,55
2003-09-17,35.70,$,Schnucks grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,56
2003-09-17,3.01,$,Schnucks bill error cash back,CashAsset,CashPay,Cash,Vendor Cash,Cash Received,,,57
2003-09-19,40.00,$,Driver Improvement class,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,58
2003-09-19,7.91,$,Pizza Hut -lunch,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,59
2003-09-21,12.95,$,Office Max - Scanner 1 Year Service plan,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,60
2003-09-21,76.38,$,Bergners - Sebi dress,DigitalPay,CreditCard,Other Expense,Bergners Card,Bergner's Card [D],,,61
2003-09-21,25.91,$,Bergners - Dinesh Polo sweters,DigitalPay,CreditCard,Other Expense,Bergners Card,Bergner's Card [D],,,62
2003-09-21,4.85,$,New Mall Coffee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,63
2003-09-22,20.50,$,Taj Emporium - Groceries,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,64
2003-09-22,12.82,$,Sams club - grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,65
2003-09-22,27.00,$,Olive Garden - Lunch,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,66
2003-09-24,5.60,$,Lunch - AC Bldg,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,67
2003-09-24,42.59,$,Schnucks,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,68
2003-09-24,25.00,$,Schnucks,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,69
2003-09-24,97.32,$,Shell,DigitalPay,BankAsset,Vendor Bank,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Credit Card Check Payment,,,70
2003-09-24,38.70,$,SBC - Check Payment,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,71
2003-09-24,329.69,$,Bergners,DigitalPay,BankAsset,Vendor Bank,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Credit Card Check Payment,,,72
2003-09-24,83.99,$,CILCO - Check Payment,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,73
2003-09-24,19.99,$,Dish - Check Payment,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,74
2003-09-24,"1,000.00",$,Appa - Check,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,75
2003-09-25,20.00,$,Mahendra - Give back loan amount,CashAsset,CashPay,Cash,Vendor Cash,Cash Received,,,76
2003-09-25,"1,891.53",$,Staff Mgmt - Salary,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Caterpillar Inc,CEFCU Checking A/c [D] - ACH Deposit,,,77
2003-09-27,37.48,$,AT&T Phone card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,78
2003-09-27,2.02,$,Post office,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,79
2003-09-27,15.71,$,Honda Gas,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,80
2003-09-27,21.00,$,Lunch - Red lobster,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,81
2003-09-27,10.00,$,Lake View Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,82
2003-09-28,2.69,$,Hall Mark Card for Rajini,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,83
2003-09-28,6.47,$,Radio shack PDA - Sterio Audio adaptor,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,84
2003-09-28,117.18,$,WalMart - Rajini Gifts & home shopping,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,85
2003-09-29,24.19,$,Taj Emporium Groceries,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,86
2003-09-30,5.00,$,April Send off,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,87
2003-09-30,11.25,$,Taj Emporium Mutton,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,88
2003-09-30,29.11,$,JC Penny - Sebi Shoe,DigitalPay,CreditCard,Other Expense,JCPenney Card,JCPenney Card,,,89
2003-09-30,86.58,$,Sams club - Member ship + Grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,90
2003-09-30,40.00,$,Sams Club,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,91
2003-10-02,5.75,$,ReliableCom-USA Euro World Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,92
2003-10-02,18.18,$,Reliable Com - Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,93
2003-10-05,18.00,$,Olive Garden,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,94
2003-10-05,5.20,$,Mc Donalds Bloomington Breakfast,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,95
